Date,Adj_Close,Open,High,Low,Vol.,Change %
01/13/2022,2711.1,"2,694.20","2,716.70","2,692.90",,0.50%
01/12/2022,2697.6,"2,694.70","2,700.10","2,678.50",,0.64%
01/11/2022,2680.5,"2,678.50","2,691.70","2,671.70",,0.60%
01/10/2022,2664.6,"2,703.90","2,706.40","2,655.10",,-0.87%
01/07/2022,2688.1,"2,702.50","2,711.80","2,672.20",,-0.19%
01/06/2022,2693.2,"2,706.20","2,721.60","2,686.80",,-1.80%
01/05/2022,2742.6,"2,730.80","2,748.40","2,722.10",,0.78%
01/04/2022,2721.3,"2,715.90","2,735.20","2,703.00",,0.73%
01/03/2022,2701.5,"2,674.60","2,706.40","2,673.40",,1.37%
12/30/2021,2665.1,"2,664.30","2,670.90","2,659.40",,0.07%
12/29/2021,2663.3,"2,673.90","2,676.10","2,654.30",,-0.38%
12/28/2021,2673.4,"2,657.50","2,678.50","2,657.50",,0.82%
12/27/2021,2651.6,"2,621.80","2,654.10","2,621.80",,0.85%
12/23/2021,2629.3,"2,617.40","2,631.30","2,610.10",,0.68%
12/22/2021,2611.5,"2,595.10","2,611.50","2,583.40",,0.68%
12/21/2021,2593.9,"2,576.80","2,593.90","2,560.20",,1.73%
12/20/2021,2549.9,"2,538.20","2,555.30","2,509.80",,-1.59%
12/17/2021,2591.2,"2,595.40","2,598.80","2,565.60",,-0.67%
12/16/2021,2608.8,"2,627.70","2,631.10","2,600.80",,0.47%
12/15/2021,2596.6,"2,600.00","2,607.80","2,591.40",,0.41%
12/14/2021,2586.1,"2,598.60","2,604.40","2,582.20",,0.07%
12/13/2021,2584.4,"2,608.80","2,623.80","2,581.20",,-1.08%
12/10/2021,2612.5,"2,610.60","2,631.60","2,608.10",,-0.36%
12/09/2021,2622.0,"2,621.30","2,629.60","2,609.60",,0.23%
12/08/2021,2615.9,"2,646.50","2,655.50","2,615.90",,-1.41%
12/07/2021,2653.3,"2,616.20","2,657.50","2,614.40",,2.42%
12/06/2021,2590.5,"2,559.40","2,593.90","2,546.00",,2.15%
12/03/2021,2535.9,"2,568.90","2,569.40","2,524.90",,-0.27%
12/02/2021,2542.8,"2,554.30","2,565.10","2,530.10",,-1.37%
12/01/2021,2578.2,"2,546.00","2,584.10","2,540.60",,2.19%
11/30/2021,2523.0,"2,510.80","2,550.90","2,494.80",,-0.92%
11/29/2021,2546.4,"2,559.20","2,574.80","2,539.10",,0.80%
11/26/2021,2526.2,"2,552.10","2,580.90","2,524.00",,-4.67%
