Date,Adj_Close,Open,High,Low,Vol.,Change %
2019-11-15,1605.7,"1,622.82","1,626.84","1,605.70",21.35B,-1.13%
2019-11-14,1624.13,"1,614.07","1,627.79","1,612.51",20.55B,0.61%
2019-11-13,1614.3,"1,613.68","1,617.64","1,605.96",18.40B,0.01%
2019-11-12,1614.19,"1,611.11","1,615.73","1,594.76",20.60B,0.17%
2019-11-11,1611.44,"1,638.10","1,638.10","1,608.97",23.15B,-2.26%
2019-11-08,1648.68,"1,661.10","1,666.14","1,647.91",23.41B,-0.19%
2019-11-07,1651.77,"1,639.71","1,654.30","1,637.69",21.66B,0.64%
2019-11-06,1641.23,"1,656.22","1,656.26","1,635.60",23.25B,-0.87%
2019-11-05,1655.6,"1,648.70","1,661.09","1,640.94",23.86B,0.54%
2019-11-04,1646.7,"1,640.63","1,652.67","1,640.63",23.90B,0.59%
2019-11-01,1637.0,"1,612.31","1,638.25","1,609.34",22.59B,1.29%
2019-10-31,1616.19,"1,630.59","1,633.65","1,615.00",24.27B,-0.76%
2019-10-30,1628.62,"1,635.81","1,637.89","1,624.57",27.16B,-0.86%
2019-10-29,1642.68,"1,659.47","1,659.47","1,642.68",32.16B,-0.94%
2019-10-28,1658.24,"1,640.59","1,658.24","1,640.12",29.90B,1.58%
2019-10-25,1632.4,"1,616.82","1,633.79","1,608.94",22.50B,0.99%
2019-10-24,1616.33,"1,617.38","1,622.12","1,605.49",20.72B,-0.13%
2019-10-23,1618.4,"1,631.04","1,631.94","1,614.85",21.60B,-0.79%
2019-10-22,1631.22,"1,617.65","1,631.22","1,616.03",20.76B,1.01%
2019-10-21,1614.87,"1,616.09","1,616.12","1,602.85",20.99B,-0.11%
2019-10-18,1616.72,"1,638.15","1,645.08","1,613.48",23.80B,-1.17%
2019-10-17,1635.92,"1,637.13","1,640.49","1,631.05",20.66B,0.02%
2019-10-16,1635.65,"1,641.92","1,648.69","1,634.69",23.31B,-0.38%
2019-10-15,1641.95,"1,654.87","1,654.87","1,639.34",26.63B,-1.11%
2019-10-14,1660.33,"1,650.87","1,666.32","1,647.97",28.54B,1.43%
2019-10-11,1636.96,"1,634.86","1,643.51","1,622.83",24.35B,0.31%
2019-10-10,1631.84,"1,608.82","1,632.31","1,605.34",22.21B,1.41%
2019-10-09,1609.1,"1,594.07","1,609.10","1,584.21",18.86B,0.65%
2019-10-08,1598.64,"1,598.67","1,612.17","1,596.48",18.86B,0.22%
2019-09-30,1595.21,"1,611.99","1,618.15","1,595.21",18.40B,-1.06%
2019-09-27,1612.26,"1,597.50","1,616.81","1,597.50",21.49B,0.91%
2019-09-26,1597.72,"1,642.46","1,644.23","1,597.72",28.74B,-2.50%
2019-09-25,1638.77,"1,658.00","1,658.00","1,638.53",28.39B,-1.61%
2019-09-24,1665.56,"1,660.46","1,678.95","1,657.68",28.41B,0.33%
2019-09-23,1660.06,"1,670.10","1,670.10","1,647.71",27.12B,-0.91%
2019-09-20,1675.35,"1,675.63","1,680.25","1,668.92",28.11B,0.16%
2019-09-19,1672.63,"1,659.92","1,672.63","1,650.96",26.51B,1.03%
2019-09-18,1655.61,"1,654.56","1,660.91","1,647.32",25.59B,0.26%
2019-09-17,1651.35,"1,681.06","1,681.06","1,645.21",32.74B,-2.00%
2019-09-16,1685.09,"1,687.12","1,691.39","1,678.24",31.71B,0.23%
2019-09-12,1681.23,"1,675.82","1,684.05","1,667.32",28.86B,0.58%
2019-09-11,1671.54,"1,690.75","1,692.98","1,669.54",34.90B,-0.93%
2019-09-10,1687.31,"1,690.34","1,690.51","1,676.28",38.19B,-0.11%
