Date,Open,High,Low,Close,Adj_Close,Volume
2018-10-26,3.7048,3.7221,3.6683,3.7049,3.7049,0
2018-10-29,3.6416,3.6725,3.5861,3.6416,3.6416,0
2018-10-30,3.7156,3.7174,3.6471,3.7158,3.7158,0
2018-10-31,3.6945,3.7422,3.6883,3.6946,3.6946,0
2018-11-01,3.7188,3.7215,3.6801,3.7207,3.7207,0
2018-11-02,3.6951,3.6966,3.6819,3.6949,3.6949,0
2018-11-05,3.7003,3.7152,3.6918,3.7,3.7,0
2018-11-06,3.7247,3.7672,3.7002,3.7246,3.7246,0
2018-11-07,3.7603,3.7841,3.7222,3.7599,3.7599,0
2018-11-08,3.7299,3.7564,3.717,3.7304,3.7304,0
2018-11-09,3.7588,3.767,3.7328,3.7592,3.7592,0
2018-11-12,3.7294,3.7601,3.7291,3.7294,3.7294,0
2018-11-13,3.7661,3.81,3.7513,3.7664,3.7664,0
2018-11-14,3.7994,3.8163,3.7674,3.8014,3.8014,0
2018-11-15,3.7822,3.784,3.77,3.7824,3.7824,0
2018-11-16,3.7825,3.7836,3.7285,3.7824,3.7824,0
2018-11-19,3.7425,3.769,3.7182,3.7425,3.7425,0
2018-11-20,3.7545,3.7614,3.7473,3.7544,3.7544,0
2018-11-21,3.7559,3.7973,3.7523,3.7557,3.7557,0
2018-11-22,3.7966,3.8245,3.7856,3.7961,3.7961,0
2018-11-23,3.8022,3.8233,3.7953,3.8031,3.8031,0
2018-11-26,3.8257,3.8922,3.8196,3.673,3.673,0
2018-11-27,3.9394,3.94,3.8748,3.9397,3.9397,0
2018-11-28,3.8735,3.8854,3.847,3.8735,3.8735,0
2018-11-29,3.8491,3.8723,3.8327,3.8492,3.8492,0
2018-11-30,3.8514,3.8857,3.8383,3.851,3.851,0
2018-12-03,3.8652,3.8659,3.8162,3.8652,3.8652,0
2018-12-04,3.8408,3.8415,3.8174,3.8408,3.8408,0
2018-12-05,3.8491,3.8815,3.8349,3.8511,3.8511,0
2018-12-06,3.8668,3.9408,3.8493,3.8674,3.8674,0
2018-12-07,3.8781,3.9215,3.8585,3.8778,3.8778,0
2018-12-10,3.9063,3.9332,3.8911,3.9058,3.9058,0
2018-12-11,3.9165,3.9185,3.8885,3.9167,3.9167,0
2018-12-12,3.9026,3.9051,3.838,3.9026,3.9026,0
2018-12-13,3.8519,3.8929,3.8311,3.8541,3.8541,0
2018-12-14,3.8891,3.92,3.8867,3.8907,3.8907,0
2018-12-17,3.9159,3.9266,3.8865,3.9155,3.9155,0
2018-12-18,3.8984,3.9154,3.8839,3.8976,3.8976,0
2018-12-19,3.911,3.9117,3.8639,3.9109,3.9109,0
2018-12-20,3.8957,3.8975,3.8305,3.8962,3.8962,0
2018-12-21,3.8389,3.8804,3.8379,3.8389,3.8389,0
2018-12-24,3.9031,3.9036,3.8776,3.8434,3.8434,0
2018-12-25,3.9026,3.9029,3.8997,3.9026,3.9026,0
2018-12-26,3.9028,3.9383,3.8947,3.9028,3.9028,0
2018-12-27,3.9206,3.9419,3.8867,3.9206,3.9206,0
2018-12-28,3.8724,3.8929,3.8286,3.8715,3.8715,0
2018-12-31,3.8794,3.8817,3.8698,3.8742,3.8742,0
2019-01-01,3.88,3.88,3.8799,3.88,3.88,0
2019-01-02,3.8799,3.8959,3.8043,3.8799,3.8799,0
2019-01-03,3.7866,3.8047,3.7377,3.7863,3.7863,0
2019-01-04,3.755,3.7836,3.7115,3.7551,3.7551,0
2019-01-07,3.7137,3.7229,3.6906,3.6612,3.6612,0
2019-01-08,3.7342,3.738,3.7052,3.7341,3.7341,0
2019-01-09,3.712,3.7137,3.6757,3.7124,3.7124,0
2019-01-10,3.6795,3.6948,3.6738,3.68,3.68,0
2019-01-11,3.7066,3.7268,3.6933,3.7079,3.7079,0
2019-01-14,3.71,3.7294,3.6929,3.6596,3.6596,0
2019-01-15,3.6982,3.722,3.6903,3.6975,3.6975,0
2019-01-16,3.7159,3.736,3.7097,3.7164,3.7164,0
2019-01-17,3.7351,3.772,3.7247,3.7343,3.7343,0
2019-01-18,3.7491,3.766,3.7141,3.7489,3.7489,0
2019-01-21,3.7502,3.7779,3.7405,3.7502,3.7502,0
2019-01-22,3.7517,3.7846,3.7398,3.7514,3.7514,0
2019-01-23,3.8137,3.8143,3.778,3.812,3.812,0
2019-01-24,3.7626,3.7944,3.7386,3.7623,3.7623,0
2019-01-25,3.7698,3.7718,3.7103,3.7698,3.7698,0
2019-01-28,3.7533,3.7853,3.7513,3.7696,3.7696,0
2019-01-29,3.7602,3.7629,3.7247,3.7596,3.7596,0
2019-01-30,3.7187,3.7239,3.702,3.7185,3.7185,0
2019-01-31,3.6816,3.6857,3.6372,3.6814,3.6814,0
2019-02-01,3.6402,3.6807,3.6352,3.6428,3.6428,0
2019-02-04,3.6573,3.6866,3.6557,3.6573,3.6573,0
2019-02-05,3.6672,3.6828,3.6623,3.667,3.667,0
2019-02-06,3.6682,3.7143,3.6575,3.6683,3.6683,0
2019-02-07,3.6932,3.7346,3.669,3.6947,3.6947,0
2019-02-08,3.7131,3.7456,3.7032,3.7149,3.7149,0
2019-02-11,3.7279,3.7717,3.7244,3.7286,3.7286,0
2019-02-12,3.756,3.7571,3.7087,3.7552,3.7552,0
2019-02-13,3.7081,3.7563,3.6979,3.708,3.708,0
2019-02-14,3.7526,3.7913,3.732,3.7532,3.7532,0
2019-02-15,3.7217,3.7243,3.7022,3.722,3.722,0
2019-02-18,3.6987,3.7405,3.6856,3.6468,3.6468,0
2019-02-19,3.7318,3.7424,3.7,3.7317,3.7317,0
2019-02-20,3.7226,3.7314,3.6914,3.722,3.722,0
2019-02-21,3.7237,3.7697,3.7174,3.724,3.724,0
2019-02-22,3.7667,3.7676,3.732,3.7665,3.7665,0
2019-02-25,3.7463,3.747,3.7191,3.7463,3.7463,0
2019-02-26,3.7501,3.7645,3.729,3.7504,3.7504,0
2019-02-27,3.7471,3.7484,3.722,3.7471,3.7471,0
2019-02-28,3.7271,3.7544,3.7166,3.7273,3.7273,0
2019-03-01,3.7474,3.7939,3.7367,3.7475,3.7475,0
2019-03-04,3.7727,3.7751,3.7705,3.7214,3.7214,0
2019-03-05,3.7738,3.7752,3.7717,3.7741,3.7741,0
2019-03-06,3.7745,3.8214,3.7588,3.7744,3.7744,0
2019-03-07,3.8381,3.8884,3.7758,3.8368,3.8368,0
2019-03-08,3.8691,3.8997,3.8514,3.8693,3.8693,0
2019-03-11,3.8667,3.8671,3.8311,3.8134,3.8134,0
2019-03-12,3.8371,3.8424,3.802,3.8373,3.8373,0
2019-03-13,3.8117,3.8321,3.8006,3.8116,3.8116,0
2019-03-14,3.8129,3.8386,3.8045,3.8133,3.8133,0
2019-03-15,3.8405,3.8686,3.81,3.8405,3.8405,0
2019-03-18,3.8115,3.8257,3.8028,3.813,3.813,0
2019-03-19,3.7904,3.7917,3.7657,3.79,3.79,0
2019-03-20,3.7878,3.7968,3.7772,3.7877,3.7877,0
2019-03-21,3.774,3.8249,3.74,3.7742,3.7742,0
2019-03-22,3.7909,3.8947,3.7746,3.791,3.791,0
2019-03-25,3.9029,3.9308,3.8598,3.906,3.906,0
2019-03-26,3.8538,3.8768,3.8286,3.8536,3.8536,0
2019-03-27,3.8756,3.9594,3.8545,3.875,3.875,0
2019-03-28,3.9887,4.0064,3.9513,3.9882,3.9882,0
2019-03-29,3.8977,3.9092,3.8642,3.8977,3.8977,0
2019-04-01,3.8837,3.9216,3.8599,3.9225,3.9225,0
2019-04-02,3.849,3.8768,3.822,3.8485,3.8485,0
2019-04-03,3.8495,3.8554,3.8347,3.8523,3.8523,0
2019-04-04,3.8687,3.8854,3.8603,3.8683,3.8683,0
2019-04-05,3.8496,3.8696,3.83,3.8559,3.8559,0
2019-04-08,3.8718,3.8742,3.855,3.874,3.874,0
2019-04-09,3.8456,3.8623,3.8385,3.8482,3.8482,0
2019-04-10,3.831,3.8536,3.8209,3.848,3.848,0
2019-04-11,3.8242,3.8572,3.8061,3.824,3.824,0
2019-04-12,3.8567,3.8784,3.8326,3.8558,3.8558,0
2019-04-15,3.8809,3.8882,3.8618,3.8803,3.8803,0
2019-04-16,3.8707,3.9053,3.8664,3.8704,3.8704,0
2019-04-17,3.9037,3.9443,3.875,3.9038,3.9038,0
2019-04-18,3.9374,3.9492,3.8987,3.9367,3.9367,0
2019-04-19,3.9263,3.9352,3.926,3.9267,3.9267,0
2019-04-22,3.9196,3.9302,3.9,3.9345,3.9345,0
2019-04-23,3.9337,3.9613,3.9252,3.9341,3.9341,0
2019-04-24,3.9184,3.9822,3.9,3.9183,3.9183,0
2019-04-25,3.9891,4.0026,3.9529,3.9896,3.9896,0
2019-04-26,3.9534,3.9671,3.9183,3.9527,3.9527,0
2019-04-29,3.9237,3.9433,3.9175,3.9292,3.9292,0
2019-04-30,3.9445,3.9549,3.9209,3.9443,3.9443,0
2019-05-01,3.922,3.9391,3.9161,3.9169,3.9169,0
2019-05-02,3.9268,3.9699,3.9072,3.9193,3.9193,0
2019-05-03,3.9666,3.9672,3.9305,3.9662,3.9662,0
2019-05-06,3.9338,3.9732,3.9289,3.9366,3.9366,0
2019-05-07,3.9678,3.9974,3.9472,3.9682,3.9682,0
2019-05-08,3.9712,3.9915,3.925,3.9687,3.9687,0
2019-05-09,3.9261,3.9791,3.906,3.9263,3.9263,0
2019-05-10,3.9457,3.9708,3.9364,3.9454,3.9454,0
2019-05-13,3.9242,4.0008,3.9242,3.9597,3.9597,0
2019-05-14,3.9891,3.9936,3.9688,3.9905,3.9905,0
2019-05-15,3.9756,4.0208,3.9724,3.9751,3.9751,0
2019-05-16,3.9996,4.0243,3.9843,3.9999,3.9999,0
2019-05-17,4.0463,4.0977,4.0223,4.0462,4.0462,0
2019-05-20,4.0958,4.1193,4.082,4.0974,4.0974,0
2019-05-21,4.0951,4.1106,4.0596,4.0949,4.0949,0
2019-05-22,null,null,null,null,null,null
2019-05-23,4.0369,4.0693,4.0262,4.0368,4.0368,0
2019-05-24,4.0384,4.0454,4.0187,4.0387,4.0387,0
2019-05-27,4.012,4.0267,4.0063,4.0212,4.0212,0
2019-05-28,4.0415,4.0506,4.0135,4.0421,4.0421,0
2019-05-29,4.0241,4.0358,3.9859,4.0236,4.0236,0
2019-05-30,3.9735,3.9902,3.9514,3.9734,3.9734,0
2019-05-31,3.9755,3.9957,3.9087,3.98,3.98,0
2019-06-03,3.9198,3.929,3.8898,3.9242,3.9242,0
2019-06-04,3.8795,3.8868,3.8551,3.8841,3.8841,0
2019-06-05,3.8536,3.8805,3.8371,3.8536,3.8536,0
2019-06-06,3.8464,3.8862,3.8464,3.8794,3.8794,0
2019-06-07,3.8785,3.8826,3.8499,3.8784,3.8784,0
2019-06-10,3.8829,3.8944,3.8669,3.8765,3.8765,0
2019-06-11,3.8521,3.8857,3.8521,3.8845,3.8845,0
2019-06-12,3.8552,3.8616,3.8302,3.8551,3.8551,0
2019-06-13,3.8652,3.8669,3.8342,3.8659,3.8659,0
2019-06-14,3.8478,3.898,3.8452,3.8482,3.8482,0
2019-06-17,3.8937,3.904,3.8797,3.8945,3.8945,0
2019-06-18,3.8877,3.8879,3.849,3.887,3.887,0
2019-06-19,3.8593,3.8824,3.8573,3.8595,3.8595,0
2019-06-20,3.829,3.8381,3.829,3.8354,3.8354,0
2019-06-21,3.8406,3.8429,3.8116,3.8377,3.8377,0
2019-06-24,3.792,3.8349,3.792,3.8205,3.8205,0
2019-06-25,3.8255,3.8358,3.8148,3.8256,3.8256,0
2019-06-26,3.811,3.8521,3.811,3.8455,3.8455,0
2019-06-27,3.8428,3.871,3.8403,3.8429,3.8429,0
2019-06-28,3.8158,3.8373,3.7974,3.816,3.816,0
2019-07-01,3.8494,3.8503,3.8064,3.8495,3.8495,0
2019-07-02,3.8395,3.8782,3.8357,3.8396,3.8396,0
2019-07-03,3.8424,3.8731,3.8201,3.8439,3.8439,0
2019-07-04,3.8251,3.8285,3.7835,3.825,3.825,0
2019-07-05,3.8007,3.836,3.7985,3.8008,3.8008,0
2019-07-08,3.8189,3.8212,3.8003,3.8191,3.8191,0
2019-07-09,3.7992,3.8205,3.7984,3.7991,3.7991,0
2019-07-10,3.8007,3.8103,3.7617,3.799,3.799,0
2019-07-11,3.7503,3.79,3.7207,3.7503,3.7503,0
2019-07-12,3.7547,3.7609,3.7354,3.7548,3.7548,0
2019-07-15,3.7295,3.752,3.7196,3.7344,3.7344,0
2019-07-16,3.7247,3.7678,3.7247,3.7537,3.7537,0
2019-07-17,3.7367,3.7678,3.7367,3.7672,3.7672,0
2019-07-18,3.7621,3.764,3.7447,3.7618,3.7618,0
2019-07-19,3.7175,3.7428,3.702,3.7174,3.7174,0
2019-07-22,3.7467,3.7501,3.7331,3.7459,3.7459,0
2019-07-23,3.7307,3.7697,3.7168,3.7398,3.7398,0
2019-07-24,3.7724,3.7725,3.7508,3.7724,3.7724,0
2019-07-25,3.772,3.8029,3.7478,3.7713,3.7713,0
2019-07-26,3.7487,3.7903,3.7487,3.7752,3.7752,0
2019-07-29,3.7732,3.7975,3.7543,3.7735,3.7735,0
2019-07-30,3.7463,3.7969,3.7463,3.7801,3.7801,0
2019-07-31,3.7892,3.7916,3.7527,3.7893,3.7893,0
2019-08-01,3.8116,3.8366,3.7879,3.8117,3.8117,0
2019-08-02,3.8373,3.8915,3.8131,3.8373,3.8373,0
2019-08-05,3.8877,3.9452,3.8817,3.8839,3.8839,0
2019-08-06,3.973,3.9827,3.9364,3.9731,3.9731,0
2019-08-07,3.9567,3.9903,3.9349,3.9587,3.9587,0
2019-08-08,3.9675,3.9678,3.9278,3.9674,3.9674,0
2019-08-09,3.9178,3.9448,3.8981,3.9176,3.9176,0
2019-08-12,3.9389,4.0113,3.9187,3.9402,3.9402,0
2019-08-13,3.9833,4.0108,3.942,3.9839,3.9839,0
2019-08-14,3.9617,4.0155,3.96,3.9624,3.9624,0
2019-08-15,4.0502,4.0505,4.0031,4.0503,4.0503,0
2019-08-16,3.9901,4.0019,3.9745,3.9901,3.9901,0
2019-08-19,4.0044,4.0388,3.9904,4.0046,4.0046,0
2019-08-20,4.0733,4.0742,4.0244,4.0732,4.0732,0
2019-08-21,4.0466,4.0531,4.011,4.0517,4.0517,0
2019-08-22,4.0243,4.0583,4.0178,4.024,4.024,0
2019-08-23,4.0678,4.1109,4.0528,4.068,4.068,0
2019-08-26,4.1196,4.156,4.098,4.1262,4.1262,0
2019-08-27,4.1515,4.1812,4.1215,4.1515,4.1515,0
2019-08-28,4.1232,4.1655,4.102,4.1228,4.1228,0
2019-08-29,4.167,4.1752,4.1418,4.1677,4.1677,0
2019-08-30,4.1677,4.1695,4.1218,4.1681,4.1681,0
2019-09-02,4.1427,4.1647,4.1412,4.1439,4.1439,0
2019-09-03,4.1845,4.1848,4.1455,4.1844,4.1844,0
2019-09-04,4.1499,4.1659,4.1095,4.1651,4.1651,0
2019-09-05,4.0911,4.0956,4.0668,4.0932,4.0932,0
2019-09-06,4.0801,4.1067,4.0516,4.106,4.106,0
